Crop,Year,Province,Seeded Area,Harvested Area,Yield,Production
Winter Wheat,2014,Alberta,72.8,62.7,4.6,288.5
Winter Wheat,2015,Alberta,85,74.9,4,296.1
Winter Wheat,2016,Alberta,72.8,64.7,3.5,225.9
Winter Wheat,2017,Alberta,78.5,72.4,4.4,318.4
Winter Wheat,2018,Alberta,52.6,42.5,4.2,176.9
Winter Wheat,2019,Alberta,38.4,26.3,3.8,100.4
Winter Wheat,2020,Alberta,40.5,31.3,3.3,103.1
Winter Wheat,2021,Alberta,49.5,36.2,4.4,160.4
Winter Wheat,2022,Alberta,82.8,62.5,2.8,178
Winter Wheat,2023,Alberta,61.5,46.5,4,185.1
Spring Wheat,2014,Alberta,2606.2,2586,3.9,10169.6
Spring Wheat,2015,Alberta,2466.6,2422.1,3.5,8369.1
Spring Wheat,2016,Alberta,2391.7,2298.6,3.2,7247.6
Spring Wheat,2017,Alberta,2318.3,2074,4,8204.4
Spring Wheat,2018,Alberta,2371.5,2337,3.7,8720
Spring Wheat,2019,Alberta,2535.2,2491.3,3.5,8771.6
Spring Wheat,2020,Alberta,2665.9,2585.5,3.7,9512.8
Spring Wheat,2021,Alberta,2555.2,2502.2,3.8,9555.9
Spring Wheat,2022,Alberta,2310.7,2265,2.5,5597.9
Spring Wheat,2023,Alberta,2588.3,2550.9,3.9,9963.8
CW Red Spring,2014,Alberta,2155,2138.8,3.7,7955.1
CW Red Spring,2015,Alberta,2043.7,2009.3,3.3,6635.1
CW Red Spring,2016,Alberta,1962.7,1893.9,3,5715.3
CW Red Spring,2017,Alberta,1847.4,1641,3.7,6123.5
CW Red Spring,2018,Alberta,2013.3,1993.1,3.6,7220.3
CW Red Spring,2019,Alberta,2037.6,2009,3.4,6789.1
CW Red Spring,2020,Alberta,2237.4,2181.5,3.6,7772.4
CW Red Spring,2021,Alberta,2083.4,2048.1,3.8,7681.4
CW Red Spring,2022,Alberta,1867.3,1842.9,2.4,4383.2
CW Red Spring,2023,Alberta,2057.7,2035.7,3.8,7689.2
Canada Prairie Spring,2014,Alberta,257,255,5,1275.6
Canada Prairie Spring,2015,Alberta,275.2,273.2,4.2,1142
Canada Prairie Spring,2016,Alberta,273.2,267.1,3.8,1020.6
Canada Prairie Spring,2017,Alberta,299.5,277.2,5,1387.4
Canada Prairie Spring,2018,Alberta,218.5,214.5,4.6,977
Canada Prairie Spring,2019,Alberta,279.1,271.6,4.5,1230.4
Canada Prairie Spring,2020,Alberta,275.3,256.5,4.5,1160.5
Canada Prairie Spring,2021,Alberta,308.1,299.1,4.1,1231.1
Canada Prairie Spring,2022,Alberta,285.5,280.8,3.2,895.1
Canada Prairie Spring,2023,Alberta,308.1,305.6,4.7,1447.8
Northern Hard Red,2014,Alberta,0,0,0,0
Northern Hard Red,2015,Alberta,0,0,0,0
Northern Hard Red,2016,Alberta,0,0,0,0
Northern Hard Red,2017,Alberta,0,0,0,0
Northern Hard Red,2018,Alberta,0,0,0,0
Northern Hard Red,2019,Alberta,129.1,127.5,3.4,432.4
Northern Hard Red,2020,Alberta,0,0,0,0
Northern Hard Red,2021,Alberta,37.2,36.3,3.6,131.5
Northern Hard Red,2022,Alberta,41.3,40.8,2.4,98.6
Northern Hard Red,2023,Alberta,102.6,100.6,3.7,372.4
CW Extra Strong,2014,Alberta,26.3,26.3,5,130.6
CW Extra Strong,2015,Alberta,6.1,6.1,4.2,25.9
CW Extra Strong,2016,Alberta,24.3,24.3,3.9,95.3
CW Extra Strong,2017,Alberta,50.8,46.5,4.1,190.5
CW Extra Strong,2018,Alberta,30.4,28.3,4.1,116.2
CW Extra Strong,2019,Alberta,16.7,16.7,3.4,57.2
CW Extra Strong,2020,Alberta,0,0,0,0
CW Extra Strong,2021,Alberta,0,0,0,0
CW Extra Strong,2022,Alberta,0,0,0,0
CW Extra Strong,2023,Alberta,0,0,0,0
CW Soft White Spring,2014,Alberta,131.5,129.5,4.9,636.8
CW Soft White Spring,2015,Alberta,121.4,115.3,4.2,485.8
CW Soft White Spring,2016,Alberta,111.3,97.1,3.6,353.8
CW Soft White Spring,2017,Alberta,91.1,83,4.6,380.5
CW Soft White Spring,2018,Alberta,78.9,72.8,3.9,285.8
CW Soft White Spring,2019,Alberta,51.9,46.5,4.1,192.6
CW Soft White Spring,2020,Alberta,81.9,80.7,4.1,331.4
CW Soft White Spring,2021,Alberta,74.3,68.5,4.7,321.3
CW Soft White Spring,2022,Alberta,70,54.9,2,112.4
